x,y,label
15.62698,-0.78033,0.00000
4.30631,2.05388,0.00000
2.43441,11.75927,1.00000
7.53367,9.80782,1.00000
-7.58120,-0.44288,0.00000
-1.17762,-12.08192,0.00000
11.24589,-9.94225,0.00000
-1.09641,12.96151,1.00000
-5.81154,-10.92485,0.00000
6.36494,10.05859,1.00000
6.98679,-6.35189,1.00000
-2.70200,7.01642,0.00000
9.38923,1.43933,1.00000
-0.54888,-13.01503,0.00000
-0.36062,13.25941,1.00000
-0.42399,-5.19615,1.00000
16.14657,-0.05745,0.00000
11.60429,-3.53091,1.00000
6.86873,-6.71535,1.00000
-9.06140,1.39663,0.00000
-3.26038,12.34989,1.00000
3.72686,-11.50342,0.00000
-0.79711,-12.91091,0.00000
-8.86860,10.01129,1.00000
-14.24328,1.87736,1.00000
8.97996,1.76406,1.00000
-7.01508,2.89751,0.00000
-9.26967,9.91458,1.00000
-5.38570,12.52890,1.00000
-7.21013,-9.86891,0.00000
6.53150,-4.79440,1.00000
2.16164,12.15822,1.00000
-5.70746,-10.08330,0.00000
1.14548,11.76110,1.00000
-13.24678,4.08585,1.00000
7.74605,7.93490,1.00000
-12.11824,9.24581,1.00000
-9.02438,-4.65978,0.00000
2.09489,-13.59010,0.00000
9.19856,2.04582,1.00000
3.75972,-6.02728,1.00000
-11.96360,8.12399,1.00000
13.35632,-7.80682,0.00000
0.17624,-5.47659,1.00000
-15.66068,5.54621,1.00000
3.41291,11.29822,1.00000
10.08207,0.62328,1.00000
-8.26655,-8.57839,0.00000
2.68164,11.93739,1.00000
-6.42520,4.30599,0.00000
-2.31711,13.34019,1.00000
-10.36273,10.26564,1.00000
-8.52218,11.15455,1.00000
-12.07637,10.17801,1.00000
-15.65213,3.84958,1.00000
0.03412,-11.31110,0.00000
-5.09047,12.09972,1.00000
-0.73749,-13.26090,0.00000
13.17401,-8.19059,0.00000
-9.17595,11.31568,1.00000
-4.57161,10.95206,1.00000
-7.40304,11.83119,1.00000
3.30199,4.28770,0.00000
14.30723,-2.72511,0.00000
-8.51107,-2.36784,0.00000
4.32009,10.02706,1.00000
9.74807,4.30832,1.00000
8.78229,5.09608,1.00000
10.03122,-8.42818,0.00000
10.06237,-7.80218,0.00000
-7.67926,11.70310,1.00000
-1.55491,-12.13380,0.00000
-10.61161,9.18449,1.00000
-0.40572,13.24792,1.00000
2.59101,-11.76949,0.00000
9.58678,-0.00956,1.00000
8.14228,8.15925,1.00000
-4.51402,7.32006,0.00000
-1.77506,-5.60275,1.00000
8.65242,2.92281,1.00000
-2.99061,7.00582,0.00000
-16.18117,1.94315,1.00000
-7.56840,-5.95819,0.00000
-3.87415,-10.63696,0.00000
-9.71779,0.36893,0.00000
-6.88502,-10.67660,0.00000
-8.21454,2.35929,0.00000
2.79818,-12.88193,0.00000
-13.14459,8.91845,1.00000
-1.76169,11.55898,1.00000
6.46245,-11.53138,0.00000
-9.00807,12.19320,1.00000
16.65357,-4.77126,0.00000
14.02432,-6.97036,0.00000
4.37722,-12.11557,0.00000
-7.72623,-10.48659,0.00000
3.15905,-11.51192,0.00000
-15.82950,4.57729,1.00000
5.45019,9.68586,1.00000
9.97957,-0.21078,1.00000
-9.29824,-3.41218,0.00000
1.87531,-7.50756,1.00000
-12.07835,9.06525,1.00000
7.96935,-3.42458,1.00000
-2.00699,5.99463,0.00000
-13.57725,4.42213,1.00000
6.28915,7.44904,1.00000
-0.03551,11.87252,1.00000
